c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:676 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:679 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:683 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:686 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:690 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:693 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:697 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:700 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:704 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:707 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:711 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:714 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:718 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:721 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:725 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:728 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:732 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:735 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:739 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:742 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:746 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:749 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:753 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:756 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:760 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:763 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:767 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:770 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:774 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:777 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:781 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:784 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:788 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:791 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:795 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:798 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:802 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:805 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:809 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:812 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:816 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:819 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:823 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:826 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:830 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:833 ppuctrl: 00, ppumask: 00, nmi: 1
